date,hour,interval,channel,skill_group,calls_received,predicted_calls,baseline_calls,split,model
2026-01-08,0,00:00-01:00,Chat,Billing,3,3.21,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Chat,General,5,2.6,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Chat,Sales,2,4.63,1.0,train,RandomForest
2026-01-08,0,00:00-01:00,Chat,Technical,10,5.24,2.0,train,RandomForest
2026-01-08,0,00:00-01:00,Email,Billing,1,2.07,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Email,General,1,1.74,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Email,Sales,2,2.83,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Email,Technical,8,3.09,0.0,train,RandomForest
2026-01-08,0,00:00-01:00,Voice,Billing,2,4.79,3.0,train,RandomForest
2026-01-08,0,00:00-01:00,Voice,General,7,3.36,1.0,train,RandomForest
2026-01-08,0,00:00-01:00,Voice,Sales,14,7.12,1.0,train,RandomForest
2026-01-08,0,00:00-01:00,Voice,Technical,10,8.08,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Chat,Billing,1,3.26,0.0,train,RandomForest
2026-01-08,1,01:00-02:00,Chat,General,0,2.57,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Chat,Sales,6,4.7,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Chat,Technical,6,4.83,3.0,train,RandomForest
2026-01-08,1,01:00-02:00,Email,Billing,3,2.07,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Email,General,0,1.74,0.0,train,RandomForest
2026-01-08,1,01:00-02:00,Email,Sales,2,2.83,0.0,train,RandomForest
2026-01-08,1,01:00-02:00,Email,Technical,3,3.1,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Voice,Billing,4,4.85,2.0,train,RandomForest
2026-01-08,1,01:00-02:00,Voice,General,5,3.34,1.0,train,RandomForest
2026-01-08,1,01:00-02:00,Voice,Sales,4,7.04,3.0,train,RandomForest
2026-01-08,1,01:00-02:00,Voice,Technical,5,7.88,4.0,train,RandomForest
2026-01-08,2,02:00-03:00,Chat,Billing,5,3.25,1.0,train,RandomForest
2026-01-08,2,02:00-03:00,Chat,General,2,2.53,0.0,train,RandomForest
2026-01-08,2,02:00-03:00,Chat,Sales,4,4.62,1.0,train,RandomForest
2026-01-08,2,02:00-03:00,Chat,Technical,5,4.8,2.0,train,RandomForest
2026-01-08,2,02:00-03:00,Email,Billing,1,2.09,1.0,train,RandomForest
2026-01-08,2,02:00-03:00,Email,General,0,2.2,0.0,train,RandomForest
2026-01-08,2,02:00-03:00,Email,Sales,3,2.81,1.0,train,RandomForest
2026-01-08,2,02:00-03:00,Email,Technical,0,3.09,0.0,train,RandomForest
2026-01-08,2,02:00-03:00,Voice,Billing,2,4.88,2.0,train,RandomForest
