date,day_of_week,hour,interval,channel,skill_group,holiday,is_weekend,predicted_calls,lower_bound,upper_bound
2026-06-30,Tuesday,0,00:00-01:00,Voice,Billing,0,0,4.72,0.0,11.09
2026-06-30,Tuesday,0,00:00-01:00,Voice,Technical,0,0,8.47,2.1,14.84
2026-06-30,Tuesday,0,00:00-01:00,Voice,Sales,0,0,7.75,1.38,14.12
2026-06-30,Tuesday,0,00:00-01:00,Voice,General,0,0,3.96,0.0,10.33
2026-06-30,Tuesday,0,00:00-01:00,Chat,Billing,0,0,3.27,0.0,9.64
2026-06-30,Tuesday,0,00:00-01:00,Chat,Technical,0,0,4.3,0.0,10.67
2026-06-30,Tuesday,0,00:00-01:00,Chat,Sales,0,0,4.84,0.0,11.21
2026-06-30,Tuesday,0,00:00-01:00,Chat,General,0,0,2.27,0.0,8.64
2026-06-30,Tuesday,0,00:00-01:00,Email,Billing,0,0,2.05,0.0,8.42
2026-06-30,Tuesday,0,00:00-01:00,Email,Technical,0,0,3.04,0.0,9.41
2026-06-30,Tuesday,0,00:00-01:00,Email,Sales,0,0,2.73,0.0,9.1
2026-06-30,Tuesday,0,00:00-01:00,Email,General,0,0,1.1,0.0,7.47
2026-06-30,Tuesday,1,01:00-02:00,Voice,Billing,0,0,4.66,0.0,11.03
2026-06-30,Tuesday,1,01:00-02:00,Voice,Technical,0,0,7.89,1.52,14.26
2026-06-30,Tuesday,1,01:00-02:00,Voice,Sales,0,0,6.16,0.0,12.53
2026-06-30,Tuesday,1,01:00-02:00,Voice,General,0,0,3.75,0.0,10.12
2026-06-30,Tuesday,1,01:00-02:00,Chat,Billing,0,0,2.98,0.0,9.35
2026-06-30,Tuesday,1,01:00-02:00,Chat,Technical,0,0,5.33,0.0,11.7
2026-06-30,Tuesday,1,01:00-02:00,Chat,Sales,0,0,4.32,0.0,10.69
2026-06-30,Tuesday,1,01:00-02:00,Chat,General,0,0,2.16,0.0,8.53
2026-06-30,Tuesday,1,01:00-02:00,Email,Billing,0,0,2.1,0.0,8.47
2026-06-30,Tuesday,1,01:00-02:00,Email,Technical,0,0,2.61,0.0,8.98
2026-06-30,Tuesday,1,01:00-02:00,Email,Sales,0,0,2.77,0.0,9.14
2026-06-30,Tuesday,1,01:00-02:00,Email,General,0,0,1.1,0.0,7.47
2026-06-30,Tuesday,2,02:00-03:00,Voice,Billing,0,0,4.32,0.0,10.69
2026-06-30,Tuesday,2,02:00-03:00,Voice,Technical,0,0,6.78,0.41,13.15
2026-06-30,Tuesday,2,02:00-03:00,Voice,Sales,0,0,6.8,0.43,13.17
2026-06-30,Tuesday,2,02:00-03:00,Voice,General,0,0,4.04,0.0,10.41
2026-06-30,Tuesday,2,02:00-03:00,Chat,Billing,0,0,2.99,0.0,9.36
2026-06-30,Tuesday,2,02:00-03:00,Chat,Technical,0,0,5.0,0.0,11.37
2026-06-30,Tuesday,2,02:00-03:00,Chat,Sales,0,0,4.78,0.0,11.15
2026-06-30,Tuesday,2,02:00-03:00,Chat,General,0,0,2.1,0.0,8.47
2026-06-30,Tuesday,2,02:00-03:00,Email,Billing,0,0,2.1,0.0,8.47
2026-06-30,Tuesday,2,02:00-03:00,Email,Technical,0,0,2.93,0.0,9.3
2026-06-30,Tuesday,2,02:00-03:00,Email,Sales,0,0,2.68,0.0,9.05
2026-06-30,Tuesday,2,02:00-03:00,Email,General,0,0,1.28,0.0,7.65
2026-06-30,Tuesday,3,03:00-04:00,Voice,Billing,0,0,4.69,0.0,11.06
2026-06-30,Tuesday,3,03:00-04:00,Voice,Technical,0,0,7.86,1.49,14.23
2026-06-30,Tuesday,3,03:00-04:00,Voice,Sales,0,0,6.89,0.52,13.26
2026-06-30,Tuesday,3,03:00-04:00,Voice,General,0,0,3.35,0.0,9.72
2026-06-30,Tuesday,3,03:00-04:00,Chat,Billing,0,0,3.01,0.0,9.38
2026-06-30,Tuesday,3,03:00-04:00,Chat,Technical,0,0,5.0,0.0,11.37
2026-06-30,Tuesday,3,03:00-04:00,Chat,Sales,0,0,4.73,0.0,11.1
2026-06-30,Tuesday,3,03:00-04:00,Chat,General,0,0,2.11,0.0,8.48
2026-06-30,Tuesday,3,03:00-04:00,Email,Billing,0,0,2.42,0.0,8.79
2026-06-30,Tuesday,3,03:00-04:00,Email,Technical,0,0,2.92,0.0,9.29
2026-06-30,Tuesday,3,03:00-04:00,Email,Sales,0,0,2.73,0.0,9.1
2026-06-30,Tuesday,3,03:00-04:00,Email,General,0,0,1.56,0.0,7.93
2026-06-30,Tuesday,4,04:00-05:00,Voice,Billing,0,0,5.06,0.0,11.43
2026-06-30,Tuesday,4,04:00-05:00,Voice,Technical,0,0,7.88,1.51,14.25
2026-06-30,Tuesday,4,04:00-05:00,Voice,Sales,0,0,6.62,0.25,12.99
2026-06-30,Tuesday,4,04:00-05:00,Voice,General,0,0,3.64,0.0,10.01
2026-06-30,Tuesday,4,04:00-05:00,Chat,Billing,0,0,3.3,0.0,9.67
2026-06-30,Tuesday,4,04:00-05:00,Chat,Technical,0,0,5.1,0.0,11.47
2026-06-30,Tuesday,4,04:00-05:00,Chat,Sales,0,0,4.37,0.0,10.74
2026-06-30,Tuesday,4,04:00-05:00,Chat,General,0,0,2.63,0.0,9.0
2026-06-30,Tuesday,4,04:00-05:00,Email,Billing,0,0,2.29,0.0,8.66
2026-06-30,Tuesday,4,04:00-05:00,Email,Technical,0,0,3.3,0.0,9.67
2026-06-30,Tuesday,4,04:00-05:00,Email,Sales,0,0,2.84,0.0,9.21
2026-06-30,Tuesday,4,04:00-05:00,Email,General,0,0,2.06,0.0,8.43
2026-06-30,Tuesday,5,05:00-06:00,Voice,Billing,0,0,5.02,0.0,11.39
2026-06-30,Tuesday,5,05:00-06:00,Voice,Technical,0,0,8.66,2.29,15.03
2026-06-30,Tuesday,5,05:00-06:00,Voice,Sales,0,0,7.32,0.95,13.69
2026-06-30,Tuesday,5,05:00-06:00,Voice,General,0,0,4.18,0.0,10.55
2026-06-30,Tuesday,5,05:00-06:00,Chat,Billing,0,0,3.44,0.0,9.81
2026-06-30,Tuesday,5,05:00-06:00,Chat,Technical,0,0,4.95,0.0,11.32
2026-06-30,Tuesday,5,05:00-06:00,Chat,Sales,0,0,4.82,0.0,11.19
2026-06-30,Tuesday,5,05:00-06:00,Chat,General,0,0,2.35,0.0,8.72
2026-06-30,Tuesday,5,05:00-06:00,Email,Billing,0,0,2.0,0.0,8.37
2026-06-30,Tuesday,5,05:00-06:00,Email,Technical,0,0,3.45,0.0,9.82
2026-06-30,Tuesday,5,05:00-06:00,Email,Sales,0,0,2.47,0.0,8.84
2026-06-30,Tuesday,5,05:00-06:00,Email,General,0,0,2.11,0.0,8.48
2026-06-30,Tuesday,6,06:00-07:00,Voice,Billing,0,0,4.73,0.0,11.1
2026-06-30,Tuesday,6,06:00-07:00,Voice,Technical,0,0,9.38,3.01,15.75
2026-06-30,Tuesday,6,06:00-07:00,Voice,Sales,0,0,6.26,0.0,12.63
2026-06-30,Tuesday,6,06:00-07:00,Voice,General,0,0,3.75,0.0,10.12
2026-06-30,Tuesday,6,06:00-07:00,Chat,Billing,0,0,3.41,0.0,9.78
