date,day_of_week,hour,interval,channel,skill_group,calls_received,avg_handle_time,agents_available,holiday,sla_achieved
2026-01-01,Thursday,0,00:00-01:00,Voice,Billing,3,308,2,1,90.26
2026-01-01,Thursday,0,00:00-01:00,Voice,Technical,1,284,1,1,94.85
2026-01-01,Thursday,0,00:00-01:00,Voice,Sales,1,287,1,1,89.89
2026-01-01,Thursday,0,00:00-01:00,Voice,General,1,235,3,1,93.18
2026-01-01,Thursday,0,00:00-01:00,Chat,Billing,0,398,1,1,90.2
2026-01-01,Thursday,0,00:00-01:00,Chat,Technical,2,436,1,1,91.98
2026-01-01,Thursday,0,00:00-01:00,Chat,Sales,1,393,2,1,100.0
2026-01-01,Thursday,0,00:00-01:00,Chat,General,0,503,1,1,92.51
2026-01-01,Thursday,0,00:00-01:00,Email,Billing,0,539,1,1,94.32
2026-01-01,Thursday,0,00:00-01:00,Email,Technical,0,567,1,1,86.71
2026-01-01,Thursday,0,00:00-01:00,Email,Sales,0,634,1,1,94.68
2026-01-01,Thursday,0,00:00-01:00,Email,General,0,645,1,1,91.07
2026-01-01,Thursday,1,01:00-02:00,Voice,Billing,2,266,1,1,94.44
2026-01-01,Thursday,1,01:00-02:00,Voice,Technical,4,340,2,1,93.01
2026-01-01,Thursday,1,01:00-02:00,Voice,Sales,3,257,2,1,94.71
2026-01-01,Thursday,1,01:00-02:00,Voice,General,1,300,1,1,94.23
2026-01-01,Thursday,1,01:00-02:00,Chat,Billing,0,413,1,1,94.75
2026-01-01,Thursday,1,01:00-02:00,Chat,Technical,3,464,1,1,91.02
2026-01-01,Thursday,1,01:00-02:00,Chat,Sales,1,463,1,1,92.02
2026-01-01,Thursday,1,01:00-02:00,Chat,General,1,439,1,1,89.59
2026-01-01,Thursday,1,01:00-02:00,Email,Billing,1,713,1,1,92.77
2026-01-01,Thursday,1,01:00-02:00,Email,Technical,1,595,1,1,91.92
2026-01-01,Thursday,1,01:00-02:00,Email,Sales,0,606,1,1,90.02
2026-01-01,Thursday,1,01:00-02:00,Email,General,0,600,1,1,92.9
2026-01-01,Thursday,2,02:00-03:00,Voice,Billing,2,334,1,1,94.37
2026-01-01,Thursday,2,02:00-03:00,Voice,Technical,1,272,1,1,98.57
2026-01-01,Thursday,2,02:00-03:00,Voice,Sales,0,285,1,1,97.12
2026-01-01,Thursday,2,02:00-03:00,Voice,General,0,326,1,1,92.21
2026-01-01,Thursday,2,02:00-03:00,Chat,Billing,1,408,2,1,89.65
2026-01-01,Thursday,2,02:00-03:00,Chat,Technical,2,435,2,1,93.58
2026-01-01,Thursday,2,02:00-03:00,Chat,Sales,1,435,1,1,87.68
2026-01-01,Thursday,2,02:00-03:00,Chat,General,0,503,1,1,92.89
