agent_id,skills,wage
AGT-001,Billing,15.2
AGT-002,Technical,24.82
AGT-003,Sales,21.46
AGT-004,General,16.49
AGT-005,Sales|Billing,19.78
AGT-006,Technical|Sales,26.65
AGT-007,Billing,16.59
AGT-008,Sales|General,20.97
AGT-009,Technical|Sales,24.46
AGT-010,Sales,20.28
AGT-011,Technical|Sales,24.5
AGT-012,General|Billing,17.08
AGT-013,Technical|Sales,25.47
AGT-014,Billing|Technical|Sales,25.84
AGT-015,Billing|General|Technical,22.19
AGT-016,Technical|Billing,24.56
AGT-017,Technical,23.98
AGT-018,Billing|Sales|General,21.0
AGT-019,General,19.64
AGT-020,Billing,18.57
AGT-021,Sales,20.94
AGT-022,Technical|General,24.73
AGT-023,Technical,21.84
AGT-024,Technical,24.03
AGT-025,Sales,20.91
AGT-026,Sales|Technical,24.19
AGT-027,Sales,21.49
AGT-028,Technical,21.63
AGT-029,Sales,19.58
AGT-030,Technical|General,21.65
AGT-031,Billing,19.5
AGT-032,Billing,19.74
AGT-033,Technical,22.45
AGT-034,Billing|Sales|Technical,23.9
AGT-035,Technical,23.83
AGT-036,Billing,17.32
AGT-037,Sales,19.59
AGT-038,Billing,17.23
AGT-039,Technical,23.05
AGT-040,General,15.02
AGT-041,Billing|Sales,20.84
AGT-042,Sales|Billing,18.4
AGT-043,Technical,21.05
AGT-044,Sales|Billing,19.9
AGT-045,Technical,23.88
AGT-046,General|Billing,19.19
AGT-047,General|Sales,18.33
AGT-048,Billing|Technical,24.27
AGT-049,Sales|Billing,21.34
AGT-050,Sales|Technical|General,22.33
AGT-051,Billing,17.96
AGT-052,General,15.88
AGT-053,Technical,20.75
AGT-054,Billing,16.31
AGT-055,Technical,22.48
AGT-056,General|Billing,19.16
AGT-057,Sales,20.17
AGT-058,Sales,21.2
AGT-059,Billing,15.34
AGT-060,Sales,20.66
AGT-061,General,17.76
AGT-062,General,17.11
AGT-063,Sales,20.34
AGT-064,Billing|Technical,22.25
AGT-065,Sales,18.15
AGT-066,General,18.9
AGT-067,Technical|General,21.13
AGT-068,Technical,24.09
AGT-069,Technical,23.56
AGT-070,Technical|General|Sales,23.48
AGT-071,Billing|General|Sales,17.37
AGT-072,General|Billing,15.25
AGT-073,Technical,23.61
AGT-074,General,18.39
AGT-075,Billing|Technical,21.74
AGT-076,Billing,19.46
AGT-077,General,18.17
AGT-078,General,15.47
AGT-079,Sales,20.41
AGT-080,Billing,17.47
AGT-081,Billing,16.58
AGT-082,Billing|Technical,23.99
AGT-083,Technical,22.6
AGT-084,Billing,19.73
AGT-085,Sales,21.61
AGT-086,General,17.55
AGT-087,General|Technical,23.04
AGT-088,Billing,16.01
AGT-089,General|Billing,19.62
AGT-090,General|Billing,16.38
AGT-091,Billing|Technical,22.23
AGT-092,Sales|General,20.11
AGT-093,General,16.12
AGT-094,General|Sales,17.2
AGT-095,General,18.24
AGT-096,Technical|General,23.4
AGT-097,Sales,17.14
AGT-098,Technical|General|Billing,20.1
AGT-099,Sales|Billing,21.32
AGT-100,General,15.46
AGT-101,Billing,15.77
AGT-102,Sales|Technical,24.73
AGT-103,Technical,23.65
AGT-104,General|Billing|Technical,24.06
AGT-105,Sales,17.79
AGT-106,Sales|Technical,22.99
AGT-107,Billing,18.33
AGT-108,General|Billing,18.43
AGT-109,Technical|Sales,24.07
AGT-110,Sales,17.53
AGT-111,Sales|General,21.25
AGT-112,Billing|General,19.0
AGT-113,Billing|Technical,21.18
AGT-114,Sales,19.64
AGT-115,Technical|General,24.83
AGT-116,Billing|Sales,17.74
AGT-117,General,18.31
AGT-118,Billing|General,18.52
AGT-119,Sales|Billing,17.59
AGT-120,Billing,19.79
