date,day_of_week,hour,interval,channel,skill_group,holiday,is_weekend,lag_24,lag_168,rolling_mean_24,predicted_calls
2026-06-30,Tuesday,0,00:00-01:00,Voice,Billing,0,0,6,6,12.583333333333334,4.89
2026-06-30,Tuesday,0,00:00-01:00,Voice,Technical,0,0,13,13,19.041666666666668,8.09
2026-06-30,Tuesday,0,00:00-01:00,Voice,Sales,0,0,9,9,16.75,5.47
2026-06-30,Tuesday,0,00:00-01:00,Voice,General,0,0,4,4,9.083333333333334,3.51
2026-06-30,Tuesday,0,00:00-01:00,Chat,Billing,0,0,5,5,8.291666666666666,3.05
2026-06-30,Tuesday,0,00:00-01:00,Chat,Technical,0,0,8,8,13.291666666666666,4.99
2026-06-30,Tuesday,0,00:00-01:00,Chat,Sales,0,0,9,9,10.916666666666666,5.35
2026-06-30,Tuesday,0,00:00-01:00,Chat,General,0,0,2,2,5.708333333333333,2.61
2026-06-30,Tuesday,0,00:00-01:00,Email,Billing,0,0,4,4,4.708333333333333,2.37
2026-06-30,Tuesday,0,00:00-01:00,Email,Technical,0,0,3,3,9.208333333333334,3.23
2026-06-30,Tuesday,0,00:00-01:00,Email,Sales,0,0,6,6,6.25,3.01
2026-06-30,Tuesday,0,00:00-01:00,Email,General,0,0,1,1,3.5,1.74
2026-06-30,Tuesday,1,01:00-02:00,Voice,Billing,0,0,2,2,12.708333333333334,4.89
2026-06-30,Tuesday,1,01:00-02:00,Voice,Technical,0,0,6,6,19.291666666666668,6.34
2026-06-30,Tuesday,1,01:00-02:00,Voice,Sales,0,0,2,2,17.041666666666668,7.14
2026-06-30,Tuesday,1,01:00-02:00,Voice,General,0,0,3,3,9.208333333333334,3.52
2026-06-30,Tuesday,1,01:00-02:00,Chat,Billing,0,0,2,2,8.333333333333334,3.05
2026-06-30,Tuesday,1,01:00-02:00,Chat,Technical,0,0,2,2,13.583333333333334,5.02
2026-06-30,Tuesday,1,01:00-02:00,Chat,Sales,0,0,3,3,11.041666666666666,3.95
2026-06-30,Tuesday,1,01:00-02:00,Chat,General,0,0,2,2,5.791666666666667,2.62
2026-06-30,Tuesday,1,01:00-02:00,Email,Billing,0,0,2,2,4.791666666666667,2.07
2026-06-30,Tuesday,1,01:00-02:00,Email,Technical,0,0,2,2,9.208333333333334,3.28
2026-06-30,Tuesday,1,01:00-02:00,Email,Sales,0,0,2,2,6.5,2.47
