date,day_of_week,hour,absolute_hour,interval,calls,required_agents,scheduled_agents,cost
2026-06-30,0,0,0,00:00-01:00,48.309999999999995,11,4,54031.49999999998
2026-06-30,0,1,1,01:00-02:00,46.09,11,8,54031.49999999998
2026-06-30,0,2,2,02:00-03:00,46.75,11,10,54031.49999999998
2026-06-30,0,3,3,03:00-04:00,50.74,11,12,54031.49999999998
2026-06-30,0,4,4,04:00-05:00,58.13000000000001,13,10,54031.49999999998
2026-06-30,0,5,5,05:00-06:00,52.13,12,12,54031.49999999998
2026-06-30,0,6,6,06:00-07:00,47.34,11,15,54031.49999999998
2026-06-30,0,7,7,07:00-08:00,47.49,11,16,54031.49999999998
2026-06-30,0,8,8,08:00-09:00,138.06,21,23,54031.49999999998
2026-06-30,0,9,9,09:00-10:00,199.98,28,29,54031.49999999998
2026-06-30,0,10,10,10:00-11:00,265.07,35,32,54031.49999999998
2026-06-30,0,11,11,11:00-12:00,288.54999999999995,37,32,54031.49999999998
2026-06-30,0,12,12,12:00-13:00,296.11,37,28,54031.49999999998
2026-06-30,0,13,13,13:00-14:00,301.66,38,26,54031.49999999998
2026-06-30,0,14,14,14:00-15:00,295.40000000000003,37,29,54031.49999999998
2026-06-30,0,15,15,15:00-16:00,260.14,33,31,54031.49999999998
2026-06-30,0,16,16,16:00-17:00,188.10000000000002,27,28,54031.49999999998
2026-06-30,0,17,17,17:00-18:00,146.96,22,26,54031.49999999998
2026-06-30,0,18,18,18:00-19:00,55.61,12,19,54031.49999999998
2026-06-30,0,19,19,19:00-20:00,47.07999999999999,11,16,54031.49999999998
2026-06-30,0,20,20,20:00-21:00,49.589999999999996,11,16,54031.49999999998
2026-06-30,0,21,21,21:00-22:00,47.28,11,14,54031.49999999998
2026-06-30,0,22,22,22:00-23:00,56.68999999999999,12,10,54031.49999999998
2026-06-30,0,23,23,23:00-00:00,54.07,11,11,54031.49999999998
2026-07-01,1,0,24,00:00-01:00,49.19,11,11,54031.49999999998
2026-07-01,1,1,25,01:00-02:00,51.57,12,10,54031.49999999998
2026-07-01,1,2,26,02:00-03:00,47.080000000000005,11,10,54031.49999999998
2026-07-01,1,3,27,03:00-04:00,53.73,12,12,54031.49999999998
2026-07-01,1,4,28,04:00-05:00,51.5,11,12,54031.49999999998
2026-07-01,1,5,29,05:00-06:00,47.64,11,15,54031.49999999998
2026-07-01,1,6,30,06:00-07:00,46.8,11,14,54031.49999999998
2026-07-01,1,7,31,07:00-08:00,46.93000000000001,11,13,54031.49999999998
2026-07-01,1,8,32,08:00-09:00,145.26,22,20,54031.49999999998
2026-07-01,1,9,33,09:00-10:00,200.6,28,25,54031.49999999998
2026-07-01,1,10,34,10:00-11:00,253.52,33,30,54031.49999999998
2026-07-01,1,11,35,11:00-12:00,290.05,37,30,54031.49999999998
2026-07-01,1,12,36,12:00-13:00,318.67,40,28,54031.49999999998
2026-07-01,1,13,37,13:00-14:00,304.44000000000005,39,23,54031.49999999998
2026-07-01,1,14,38,14:00-15:00,285.59000000000003,37,27,54031.49999999998
2026-07-01,1,15,39,15:00-16:00,271.15000000000003,35,28,54031.49999999998
2026-07-01,1,16,40,16:00-17:00,213.48999999999998,30,25,54031.49999999998
2026-07-01,1,17,41,17:00-18:00,152.78999999999996,23,21,54031.49999999998
2026-07-01,1,18,42,18:00-19:00,46.58,11,14,54031.49999999998
2026-07-01,1,19,43,19:00-20:00,47.28,11,13,54031.49999999998
2026-07-01,1,20,44,20:00-21:00,47.17000000000001,11,13,54031.49999999998
2026-07-01,1,21,45,21:00-22:00,46.779999999999994,11,11,54031.49999999998
2026-07-01,1,22,46,22:00-23:00,61.629999999999995,13,13,54031.49999999998
2026-07-01,1,23,47,23:00-00:00,47.370000000000005,11,10,54031.49999999998
2026-07-02,2,0,48,00:00-01:00,44.699999999999996,11,9,54031.49999999998
2026-07-02,2,1,49,01:00-02:00,46.87,11,9,54031.49999999998
2026-07-02,2,2,50,02:00-03:00,50.57,11,8,54031.49999999998
2026-07-02,2,3,51,03:00-04:00,47.6,11,9,54031.49999999998
2026-07-02,2,4,52,04:00-05:00,48.53,11,9,54031.49999999998
2026-07-02,2,5,53,05:00-06:00,47.63000000000001,11,9,54031.49999999998
2026-07-02,2,6,54,06:00-07:00,48.699999999999996,11,9,54031.49999999998
2026-07-02,2,7,55,07:00-08:00,47.480000000000004,11,11,54031.49999999998
2026-07-02,2,8,56,08:00-09:00,178.29000000000005,26,13,54031.49999999998
2026-07-02,2,9,57,09:00-10:00,214.17000000000002,29,16,54031.49999999998
2026-07-02,2,10,58,10:00-11:00,261.03999999999996,34,17,54031.49999999998
2026-07-02,2,11,59,11:00-12:00,290.34,37,16,54031.49999999998
2026-07-02,2,12,60,12:00-13:00,303.69,38,16,54031.49999999998
2026-07-02,2,13,61,13:00-14:00,298.70000000000005,38,15,54031.49999999998
2026-07-02,2,14,62,14:00-15:00,280.46,35,21,54031.49999999998
2026-07-02,2,15,63,15:00-16:00,237.78,32,19,54031.49999999998
2026-07-02,2,16,64,16:00-17:00,203.79,29,16,54031.49999999998
2026-07-02,2,17,65,17:00-18:00,144.99,22,14,54031.49999999998
2026-07-02,2,18,66,18:00-19:00,58.75000000000001,12,8,54031.49999999998
2026-07-02,2,19,67,19:00-20:00,53.900000000000006,12,10,54031.49999999998
2026-07-02,2,20,68,20:00-21:00,59.26999999999999,12,10,54031.49999999998
2026-07-02,2,21,69,21:00-22:00,46.449999999999996,11,9,54031.49999999998
2026-07-02,2,22,70,22:00-23:00,48.14999999999999,11,10,54031.49999999998
2026-07-02,2,23,71,23:00-00:00,46.93999999999999,11,7,54031.49999999998
2026-07-03,3,0,72,00:00-01:00,48.1,11,11,54031.49999999998
2026-07-03,3,1,73,01:00-02:00,47.63,11,9,54031.49999999998
2026-07-03,3,2,74,02:00-03:00,48.03,11,9,54031.49999999998
2026-07-03,3,3,75,03:00-04:00,47.25000000000001,11,13,54031.49999999998
2026-07-03,3,4,76,04:00-05:00,49.32,11,9,54031.49999999998
2026-07-03,3,5,77,05:00-06:00,61.88,13,14,54031.49999999998
2026-07-03,3,6,78,06:00-07:00,48.15,11,14,54031.49999999998
2026-07-03,3,7,79,07:00-08:00,47.39000000000001,11,15,54031.49999999998
2026-07-03,3,8,80,08:00-09:00,165.96999999999997,24,21,54031.49999999998
2026-07-03,3,9,81,09:00-10:00,197.2,28,25,54031.49999999998
2026-07-03,3,10,82,10:00-11:00,253.40999999999997,34,24,54031.49999999998
2026-07-03,3,11,83,11:00-12:00,295.46000000000004,36,27,54031.49999999998
2026-07-03,3,12,84,12:00-13:00,310.24,40,21,54031.49999999998
2026-07-03,3,13,85,13:00-14:00,316.22999999999996,40,24,54031.49999999998
2026-07-03,3,14,86,14:00-15:00,308.43,40,28,54031.49999999998
2026-07-03,3,15,87,15:00-16:00,250.59,32,26,54031.49999999998
2026-07-03,3,16,88,16:00-17:00,212.30999999999997,30,28,54031.49999999998
2026-07-03,3,17,89,17:00-18:00,155.92000000000002,23,18,54031.49999999998
2026-07-03,3,18,90,18:00-19:00,48.04,11,12,54031.49999999998
2026-07-03,3,19,91,19:00-20:00,49.05,11,11,54031.49999999998
2026-07-03,3,20,92,20:00-21:00,47.510000000000005,11,11,54031.49999999998
2026-07-03,3,21,93,21:00-22:00,56.839999999999996,12,14,54031.49999999998
2026-07-03,3,22,94,22:00-23:00,49.54999999999999,11,12,54031.49999999998
2026-07-03,3,23,95,23:00-00:00,46.69,11,11,54031.49999999998
2026-07-04,4,0,96,00:00-01:00,26.73,8,8,54031.49999999998
2026-07-04,4,1,97,01:00-02:00,25.5,8,7,54031.49999999998
2026-07-04,4,2,98,02:00-03:00,24.35,8,9,54031.49999999998
2026-07-04,4,3,99,03:00-04:00,26.52,8,10,54031.49999999998
2026-07-04,4,4,100,04:00-05:00,25.609999999999996,8,12,54031.49999999998
2026-07-04,4,5,101,05:00-06:00,26.730000000000004,8,15,54031.49999999998
2026-07-04,4,6,102,06:00-07:00,22.87,8,14,54031.49999999998
2026-07-04,4,7,103,07:00-08:00,24.209999999999997,8,14,54031.49999999998
2026-07-04,4,8,104,08:00-09:00,58.540000000000006,11,16,54031.49999999998
2026-07-04,4,9,105,09:00-10:00,97.26,16,15,54031.49999999998
2026-07-04,4,10,106,10:00-11:00,115.39999999999999,19,17,54031.49999999998
2026-07-04,4,11,107,11:00-12:00,121.55999999999999,19,19,54031.49999999998
2026-07-04,4,12,108,12:00-13:00,148.17,23,19,54031.49999999998
2026-07-04,4,13,109,13:00-14:00,166.62,24,21,54031.49999999998
2026-07-04,4,14,110,14:00-15:00,135.20999999999998,21,21,54031.49999999998
2026-07-04,4,15,111,15:00-16:00,113.29999999999998,19,19,54031.49999999998
2026-07-04,4,16,112,16:00-17:00,80.41999999999999,15,17,54031.49999999998
2026-07-04,4,17,113,17:00-18:00,68.82,14,15,54031.49999999998
2026-07-04,4,18,114,18:00-19:00,22.83,8,12,54031.49999999998
2026-07-04,4,19,115,19:00-20:00,23.299999999999997,8,11,54031.49999999998
2026-07-04,4,20,116,20:00-21:00,23.430000000000003,8,12,54031.49999999998
2026-07-04,4,21,117,21:00-22:00,23.38,8,10,54031.49999999998
2026-07-04,4,22,118,22:00-23:00,22.54,8,9,54031.49999999998
2026-07-04,4,23,119,23:00-00:00,25.76,8,8,54031.49999999998
2026-07-05,5,0,120,00:00-01:00,24.820000000000004,8,6,54031.49999999998
2026-07-05,5,1,121,01:00-02:00,27.82,8,5,54031.49999999998
2026-07-05,5,2,122,02:00-03:00,29.560000000000002,9,4,54031.49999999998
2026-07-05,5,3,123,03:00-04:00,27.240000000000002,9,4,54031.49999999998
2026-07-05,5,4,124,04:00-05:00,26.45,8,8,54031.49999999998
2026-07-05,5,5,125,05:00-06:00,25.110000000000003,8,7,54031.49999999998
2026-07-05,5,6,126,06:00-07:00,24.71,8,7,54031.49999999998
2026-07-05,5,7,127,07:00-08:00,27.330000000000002,8,8,54031.49999999998
2026-07-05,5,8,128,08:00-09:00,84.92000000000002,15,7,54031.49999999998
2026-07-05,5,9,129,09:00-10:00,112.01,18,12,54031.49999999998
2026-07-05,5,10,130,10:00-11:00,132.41,22,11,54031.49999999998
2026-07-05,5,11,131,11:00-12:00,137.32,21,12,54031.49999999998
2026-07-05,5,12,132,12:00-13:00,142.95,22,10,54031.49999999998
2026-07-05,5,13,133,13:00-14:00,161.54,23,8,54031.49999999998
