date,day_of_week,hour,absolute_hour,interval,required_agents,scheduled_agents,shortfall,excess_agents,coverage_ratio,status
2026-06-30,0,0,0,00:00-01:00,11,4,7,0,0.36,FAIL
2026-06-30,0,1,1,01:00-02:00,11,8,3,0,0.73,FAIL
2026-06-30,0,2,2,02:00-03:00,11,10,1,0,0.91,FAIL
2026-06-30,0,3,3,03:00-04:00,11,12,0,1,1.09,PASS
2026-06-30,0,4,4,04:00-05:00,13,10,3,0,0.77,FAIL
2026-06-30,0,5,5,05:00-06:00,12,12,0,0,1.0,PASS
2026-06-30,0,6,6,06:00-07:00,11,15,0,4,1.36,PASS
2026-06-30,0,7,7,07:00-08:00,11,16,0,5,1.45,PASS
2026-06-30,0,8,8,08:00-09:00,21,23,0,2,1.1,PASS
2026-06-30,0,9,9,09:00-10:00,28,29,0,1,1.04,PASS
2026-06-30,0,10,10,10:00-11:00,35,32,3,0,0.91,FAIL
2026-06-30,0,11,11,11:00-12:00,37,32,5,0,0.86,FAIL
2026-06-30,0,12,12,12:00-13:00,37,28,9,0,0.76,FAIL
2026-06-30,0,13,13,13:00-14:00,38,26,12,0,0.68,FAIL
2026-06-30,0,14,14,14:00-15:00,37,29,8,0,0.78,FAIL
2026-06-30,0,15,15,15:00-16:00,33,31,2,0,0.94,FAIL
2026-06-30,0,16,16,16:00-17:00,27,28,0,1,1.04,PASS
2026-06-30,0,17,17,17:00-18:00,22,26,0,4,1.18,PASS
2026-06-30,0,18,18,18:00-19:00,12,19,0,7,1.58,PASS
2026-06-30,0,19,19,19:00-20:00,11,16,0,5,1.45,PASS
2026-06-30,0,20,20,20:00-21:00,11,16,0,5,1.45,PASS
2026-06-30,0,21,21,21:00-22:00,11,14,0,3,1.27,PASS
2026-06-30,0,22,22,22:00-23:00,12,10,2,0,0.83,FAIL
2026-06-30,0,23,23,23:00-00:00,11,11,0,0,1.0,PASS
2026-07-01,1,0,24,00:00-01:00,11,11,0,0,1.0,PASS
2026-07-01,1,1,25,01:00-02:00,12,10,2,0,0.83,FAIL
2026-07-01,1,2,26,02:00-03:00,11,10,1,0,0.91,FAIL
2026-07-01,1,3,27,03:00-04:00,12,12,0,0,1.0,PASS
2026-07-01,1,4,28,04:00-05:00,11,12,0,1,1.09,PASS
2026-07-01,1,5,29,05:00-06:00,11,15,0,4,1.36,PASS
2026-07-01,1,6,30,06:00-07:00,11,14,0,3,1.27,PASS
2026-07-01,1,7,31,07:00-08:00,11,13,0,2,1.18,PASS
2026-07-01,1,8,32,08:00-09:00,22,20,2,0,0.91,FAIL
2026-07-01,1,9,33,09:00-10:00,28,25,3,0,0.89,FAIL
2026-07-01,1,10,34,10:00-11:00,33,30,3,0,0.91,FAIL
2026-07-01,1,11,35,11:00-12:00,37,30,7,0,0.81,FAIL
2026-07-01,1,12,36,12:00-13:00,40,28,12,0,0.7,FAIL
2026-07-01,1,13,37,13:00-14:00,39,23,16,0,0.59,FAIL
2026-07-01,1,14,38,14:00-15:00,37,27,10,0,0.73,FAIL
2026-07-01,1,15,39,15:00-16:00,35,28,7,0,0.8,FAIL
2026-07-01,1,16,40,16:00-17:00,30,25,5,0,0.83,FAIL
2026-07-01,1,17,41,17:00-18:00,23,21,2,0,0.91,FAIL
2026-07-01,1,18,42,18:00-19:00,11,14,0,3,1.27,PASS
2026-07-01,1,19,43,19:00-20:00,11,13,0,2,1.18,PASS
2026-07-01,1,20,44,20:00-21:00,11,13,0,2,1.18,PASS
2026-07-01,1,21,45,21:00-22:00,11,11,0,0,1.0,PASS
2026-07-01,1,22,46,22:00-23:00,13,13,0,0,1.0,PASS
2026-07-01,1,23,47,23:00-00:00,11,10,1,0,0.91,FAIL
2026-07-02,2,0,48,00:00-01:00,11,9,2,0,0.82,FAIL
2026-07-02,2,1,49,01:00-02:00,11,9,2,0,0.82,FAIL
2026-07-02,2,2,50,02:00-03:00,11,8,3,0,0.73,FAIL
2026-07-02,2,3,51,03:00-04:00,11,9,2,0,0.82,FAIL
2026-07-02,2,4,52,04:00-05:00,11,9,2,0,0.82,FAIL
2026-07-02,2,5,53,05:00-06:00,11,9,2,0,0.82,FAIL
2026-07-02,2,6,54,06:00-07:00,11,9,2,0,0.82,FAIL
2026-07-02,2,7,55,07:00-08:00,11,11,0,0,1.0,PASS
2026-07-02,2,8,56,08:00-09:00,26,13,13,0,0.5,FAIL
2026-07-02,2,9,57,09:00-10:00,29,16,13,0,0.55,FAIL
2026-07-02,2,10,58,10:00-11:00,34,17,17,0,0.5,FAIL
2026-07-02,2,11,59,11:00-12:00,37,16,21,0,0.43,FAIL
2026-07-02,2,12,60,12:00-13:00,38,16,22,0,0.42,FAIL
2026-07-02,2,13,61,13:00-14:00,38,15,23,0,0.39,FAIL
2026-07-02,2,14,62,14:00-15:00,35,21,14,0,0.6,FAIL
2026-07-02,2,15,63,15:00-16:00,32,19,13,0,0.59,FAIL
2026-07-02,2,16,64,16:00-17:00,29,16,13,0,0.55,FAIL
2026-07-02,2,17,65,17:00-18:00,22,14,8,0,0.64,FAIL
2026-07-02,2,18,66,18:00-19:00,12,8,4,0,0.67,FAIL
2026-07-02,2,19,67,19:00-20:00,12,10,2,0,0.83,FAIL
2026-07-02,2,20,68,20:00-21:00,12,10,2,0,0.83,FAIL
2026-07-02,2,21,69,21:00-22:00,11,9,2,0,0.82,FAIL
2026-07-02,2,22,70,22:00-23:00,11,10,1,0,0.91,FAIL
2026-07-02,2,23,71,23:00-00:00,11,7,4,0,0.64,FAIL
2026-07-03,3,0,72,00:00-01:00,11,11,0,0,1.0,PASS
2026-07-03,3,1,73,01:00-02:00,11,9,2,0,0.82,FAIL
2026-07-03,3,2,74,02:00-03:00,11,9,2,0,0.82,FAIL
2026-07-03,3,3,75,03:00-04:00,11,13,0,2,1.18,PASS
2026-07-03,3,4,76,04:00-05:00,11,9,2,0,0.82,FAIL
2026-07-03,3,5,77,05:00-06:00,13,14,0,1,1.08,PASS
2026-07-03,3,6,78,06:00-07:00,11,14,0,3,1.27,PASS
2026-07-03,3,7,79,07:00-08:00,11,15,0,4,1.36,PASS
2026-07-03,3,8,80,08:00-09:00,24,21,3,0,0.88,FAIL
2026-07-03,3,9,81,09:00-10:00,28,25,3,0,0.89,FAIL
2026-07-03,3,10,82,10:00-11:00,34,24,10,0,0.71,FAIL
2026-07-03,3,11,83,11:00-12:00,36,27,9,0,0.75,FAIL
2026-07-03,3,12,84,12:00-13:00,40,21,19,0,0.53,FAIL
2026-07-03,3,13,85,13:00-14:00,40,24,16,0,0.6,FAIL
2026-07-03,3,14,86,14:00-15:00,40,28,12,0,0.7,FAIL
2026-07-03,3,15,87,15:00-16:00,32,26,6,0,0.81,FAIL
2026-07-03,3,16,88,16:00-17:00,30,28,2,0,0.93,FAIL
2026-07-03,3,17,89,17:00-18:00,23,18,5,0,0.78,FAIL
2026-07-03,3,18,90,18:00-19:00,11,12,0,1,1.09,PASS
2026-07-03,3,19,91,19:00-20:00,11,11,0,0,1.0,PASS
2026-07-03,3,20,92,20:00-21:00,11,11,0,0,1.0,PASS
2026-07-03,3,21,93,21:00-22:00,12,14,0,2,1.17,PASS
2026-07-03,3,22,94,22:00-23:00,11,12,0,1,1.09,PASS
2026-07-03,3,23,95,23:00-00:00,11,11,0,0,1.0,PASS
2026-07-04,4,0,96,00:00-01:00,8,8,0,0,1.0,PASS
2026-07-04,4,1,97,01:00-02:00,8,7,1,0,0.88,FAIL
2026-07-04,4,2,98,02:00-03:00,8,9,0,1,1.12,PASS
2026-07-04,4,3,99,03:00-04:00,8,10,0,2,1.25,PASS
2026-07-04,4,4,100,04:00-05:00,8,12,0,4,1.5,PASS
2026-07-04,4,5,101,05:00-06:00,8,15,0,7,1.88,PASS
2026-07-04,4,6,102,06:00-07:00,8,14,0,6,1.75,PASS
2026-07-04,4,7,103,07:00-08:00,8,14,0,6,1.75,PASS
2026-07-04,4,8,104,08:00-09:00,11,16,0,5,1.45,PASS
2026-07-04,4,9,105,09:00-10:00,16,15,1,0,0.94,FAIL
2026-07-04,4,10,106,10:00-11:00,19,17,2,0,0.89,FAIL
2026-07-04,4,11,107,11:00-12:00,19,19,0,0,1.0,PASS
2026-07-04,4,12,108,12:00-13:00,23,19,4,0,0.83,FAIL
2026-07-04,4,13,109,13:00-14:00,24,21,3,0,0.88,FAIL
2026-07-04,4,14,110,14:00-15:00,21,21,0,0,1.0,PASS
2026-07-04,4,15,111,15:00-16:00,19,19,0,0,1.0,PASS
2026-07-04,4,16,112,16:00-17:00,15,17,0,2,1.13,PASS
2026-07-04,4,17,113,17:00-18:00,14,15,0,1,1.07,PASS
2026-07-04,4,18,114,18:00-19:00,8,12,0,4,1.5,PASS
