agent_id,skills,shift_name,cost,overtime
0,Billing,Base_Start_08,120,0
4,Billing,Base_Start_08,120,0
8,Billing,Base_Start_08,120,0
9,Billing,Base_Start_09,120,0
14,Billing,Base_Start_09,120,0
21,Billing,Base_Start_10,120,0
29,Billing,Base_Start_10,120,0
42,Billing,Base_Start_11,120,0
44,Billing,Base_Start_12,120,0
45,Billing,Base_Start_18,120,0
48,Billing,Base_Start_19,120,0
60,Billing,Base_Start_19,120,0
63,Billing,Base_Start_20,120,0
64,Billing,Base_Start_21,120,0
67,Billing,Base_Start_22,120,0
1,Technical,Base_Start_05,120,0
5,Technical,Base_Start_06,120,0
7,Technical,Base_Start_06,120,0
10,Technical,Base_Start_08,120,0
15,Technical,Base_Start_08,120,0
24,Technical,Base_Start_08,120,0
25,Technical,Base_Start_08,120,0
27,Technical,Base_Start_08,120,0
31,Technical,Base_Start_08,120,0
33,Technical,Base_Start_09,120,0
36,Technical,Base_Start_09,120,0
40,Technical,Base_Start_09,120,0
41,Technical,Base_Start_11,120,0
54,Technical,Base_Start_11,120,0
56,Technical,Base_Start_12,120,0
58,Technical,Base_Start_12,120,0
61,Technical,OT1_Start_12,150,1
79,Technical,Base_Start_21,120,0
80,Technical,Base_Start_22,120,0
89,Technical,Base_Start_22,120,0
2,Sales,OT1_Start_04,150,1
6,Sales,Base_Start_05,120,0
12,Sales,Base_Start_07,120,0
13,Sales,Base_Start_07,120,0
22,Sales,Base_Start_07,120,0
39,Sales,Base_Start_08,120,0
47,Sales,Base_Start_08,120,0
49,Sales,Base_Start_09,120,0
51,Sales,Base_Start_09,120,0
55,Sales,Base_Start_09,120,0
69,Sales,Base_Start_09,120,0
77,Sales,Base_Start_09,120,0
78,Sales,Base_Start_10,120,0
87,Sales,Base_Start_11,120,0
101,Sales,Base_Start_11,120,0
108,Sales,Base_Start_18,120,0
110,Sales,Base_Start_20,120,0
111,Sales,Base_Start_22,120,0
114,Sales,Base_Start_22,120,0
117,Sales,Base_Start_22,120,0
3,General,Base_Start_05,120,0
18,General,Base_Start_05,120,0
30,General,Base_Start_06,120,0
32,General,Base_Start_07,120,0
34,General,Base_Start_09,120,0
37,General,Base_Start_09,120,0
38,General,Base_Start_09,120,0
46,General,Base_Start_10,120,0
50,General,Base_Start_10,120,0
52,General,Base_Start_18,120,0
53,General,Base_Start_19,120,0
57,General,Base_Start_21,120,0
11,General|Technical,OT1_Start_04,150,1
23,General|Technical,Base_Start_08,120,0
66,General|Technical,OT1_Start_12,150,1
71,General|Technical,Base_Start_21,120,0
82,General|Technical,Base_Start_21,120,0
91,General|Technical,Base_Start_21,120,0
16,Billing|Sales,OT1_Start_04,150,1
17,Billing|Sales,Base_Start_07,120,0
19,Billing|Sales,Base_Start_07,120,0
102,Billing|Sales,Base_Start_07,120,0
106,Billing|Sales,Base_Start_09,120,0
20,Billing|General,Base_Start_01,120,0
35,Billing|General,Base_Start_17,120,0
83,Billing|General,Base_Start_20,120,0
26,Sales|Technical,Base_Start_01,120,0
43,Sales|Technical,Base_Start_12,120,0
73,Sales|Technical,Base_Start_12,120,0
85,Sales|Technical,Base_Start_18,120,0
109,Sales|Technical,Base_Start_18,120,0
115,Sales|Technical,Base_Start_20,120,0
118,Sales|Technical,Base_Start_21,120,0
28,Billing|Technical,Base_Start_05,120,0
65,Billing|Technical,Base_Start_05,120,0
98,Billing|Technical,Base_Start_05,120,0
70,General|Sales,Base_Start_08,120,0
74,General|Sales,Base_Start_10,120,0
100,General|Sales,Base_Start_14,120,0
