hour,interval,calls,required_agents,scheduled_agents,cost
0,00:00-01:00,48.309999999999995,22,22,11430
1,01:00-02:00,46.09,21,21,11430
2,02:00-03:00,46.75,21,21,11430
3,03:00-04:00,50.74,21,22,11430
4,04:00-05:00,58.13000000000001,22,22,11430
5,05:00-06:00,52.13,23,23,11430
6,06:00-07:00,47.34,21,21,11430
7,07:00-08:00,47.49,21,22,11430
8,08:00-09:00,138.06,32,32,11430
9,09:00-10:00,199.98,42,42,11430
10,10:00-11:00,265.07,50,50,11430
11,11:00-12:00,288.54999999999995,51,51,11430
12,12:00-13:00,296.11,52,52,11430
13,13:00-14:00,301.66,51,51,11430
14,14:00-15:00,295.40000000000003,50,50,11430
15,15:00-16:00,260.14,48,48,11430
16,16:00-17:00,188.10000000000002,39,39,11430
17,17:00-18:00,146.96,34,34,11430
18,18:00-19:00,55.61,23,24,11430
19,19:00-20:00,47.07999999999999,22,22,11430
20,20:00-21:00,49.589999999999996,21,21,11430
21,21:00-22:00,47.28,22,22,11430
22,22:00-23:00,56.68999999999999,22,22,11430
23,23:00-00:00,54.07,23,23,11430
