date,hour,interval,required_agents,scheduled_agents,shortfall,excess_agents,coverage_ratio,status
2026-01-01,0,00:00-01:00,22,22,0,0,1.0,PASS
2026-01-01,1,01:00-02:00,21,21,0,0,1.0,PASS
2026-01-01,2,02:00-03:00,21,21,0,0,1.0,PASS
2026-01-01,3,03:00-04:00,21,22,0,1,1.05,PASS
2026-01-01,4,04:00-05:00,22,22,0,0,1.0,PASS
2026-01-01,5,05:00-06:00,23,23,0,0,1.0,PASS
2026-01-01,6,06:00-07:00,21,21,0,0,1.0,PASS
2026-01-01,7,07:00-08:00,21,22,0,1,1.05,PASS
2026-01-01,8,08:00-09:00,32,32,0,0,1.0,PASS
2026-01-01,9,09:00-10:00,42,42,0,0,1.0,PASS
2026-01-01,10,10:00-11:00,50,50,0,0,1.0,PASS
2026-01-01,11,11:00-12:00,51,51,0,0,1.0,PASS
2026-01-01,12,12:00-13:00,52,52,0,0,1.0,PASS
2026-01-01,13,13:00-14:00,51,51,0,0,1.0,PASS
2026-01-01,14,14:00-15:00,50,50,0,0,1.0,PASS
2026-01-01,15,15:00-16:00,48,48,0,0,1.0,PASS
2026-01-01,16,16:00-17:00,39,39,0,0,1.0,PASS
2026-01-01,17,17:00-18:00,34,34,0,0,1.0,PASS
2026-01-01,18,18:00-19:00,23,24,0,1,1.04,PASS
2026-01-01,19,19:00-20:00,22,22,0,0,1.0,PASS
2026-01-01,20,20:00-21:00,21,21,0,0,1.0,PASS
2026-01-01,21,21:00-22:00,22,22,0,0,1.0,PASS
2026-01-01,22,22:00-23:00,22,22,0,0,1.0,PASS
2026-01-01,23,23:00-00:00,23,23,0,0,1.0,PASS
